"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6","CDSeq_estimated_cell_type_7","CDSeq_estimated_cell_type_8"
"HMP19",1.34826439850073e-05,2.71360111149102e-06,5.36154698502341e-06,0.00147567702495681,0.00046769664091731,0.000586062711102181,2.01883251977925e-05,1.4046916701784e-05
"BCYRN1",1.92609199785819e-06,0.00185338955914836,0.000920398899095686,0.00625755580897936,0.0571016974575636,0.00160987838600721,0.000217821403449866,0.000145151472585101
"CPLX2",4.04479319550219e-05,2.71360111149102e-06,2.68077349251171e-05,0.00194554433638584,0.000334366640833979,2.39209269837625e-06,1.80632383348669e-05,3.27761389708292e-05
"PCLO",6.35610359293201e-05,8.14080333447305e-06,1.78718232834114e-06,0.00178402744808211,0.00191349382932093,0.000528652486341151,2.2313412060718e-05,0.000117057639181533
"C11orf87",5.97088519336038e-05,8.14080333447305e-06,1.2510276298388e-05,2.44722558035955e-06,0.00130517570394073,2.39209269837625e-06,2.01883251977925e-05,5.15053612398745e-05
"ACVR1C",5.58566679378874e-05,2.71360111149102e-06,3.39564642384816e-05,2.44722558035955e-06,0.00155100289159438,0.000289443216503526,1.80632383348669e-05,8.89638057779651e-05
"SULT4A1",5.77827599357456e-06,8.14080333447305e-06,1.78718232834114e-06,0.00132884349013523,0.000573943984733715,7.17627809512874e-06,9.56289088316485e-06,9.83284169124877e-05
"GABRG1",1.34826439850073e-05,2.44224100034191e-05,5.36154698502341e-06,0.000115019602276899,0.00135309117272068,0.000126780913013941,3.50639332382711e-05,4.21407501053519e-05
"AK5",7.12654039207529e-05,6.24128255642934e-05,8.93591164170569e-06,0.0011917988576351,0.00160933476663083,7.17627809512874e-06,4.14391938270477e-05,1.4046916701784e-05
"FGF13",0.00024461368372799,2.71360111149102e-06,1.78718232834114e-06,0.000330375453348539,0.00192391023557744,0.000318148328884041,3.71890201011966e-05,0.000117057639181533
"CA12",0.00651982141274996,2.71360111149102e-06,0.000366372377309933,2.44722558035955e-06,1.14580468821613e-05,0.000198543693965229,7.43780402023933e-06,0.00175586458772299
"LOX",0.00911619342586279,6.24128255642934e-05,5.36154698502341e-06,2.44722558035955e-06,2.81242968925777e-05,2.39209269837625e-06,0.00147162265257592,2.34115278363066e-05
"NAP1L2",4.04479319550219e-05,0.000154675263354988,2.68077349251171e-05,0.00054083685325946,0.00326762664266727,0.000246385547932753,2.01883251977925e-05,0.000191974528257714
"COL1A2",9.63045998929093e-06,7.32672300102574e-05,0.000148336133252314,2.20250302232359e-05,1.56246093847654e-05,3.10972050788912e-05,0.00339907643724937,0.000913049585615957
"KRT222",1.73348279807237e-05,2.71360111149102e-06,1.78718232834114e-06,0.000305903197544943,0.00102809929751756,2.63130196821387e-05,5.3127171573138e-06,1.4046916701784e-05
"PLP1",1.92609199785819e-06,0.00314506368821809,8.39975694320335e-05,0.0274798960418573,0.0102653683657909,0.0239376716326511,1.06254343146276e-06,1.4046916701784e-05
"GRM5",9.63045998929093e-06,8.14080333447305e-06,1.2510276298388e-05,0.000247169783616314,0.00113434664133397,0.000284659031106773,4.14391938270477e-05,5.15053612398745e-05
"CHI3L2",0.00131937301853286,0.00870251876455169,0.000244843978982736,6.11806395089887e-05,1.04164062565103e-06,0.000944876615858618,1.06254343146276e-06,2.34115278363066e-05
"HTR2A",9.63045998929093e-06,7.32672300102574e-05,1.96590056117525e-05,0.000242275332455595,0.00119476179762173,5.02339466659012e-05,3.08137595124201e-05,2.34115278363066e-05
"CD36",4.43001159507383e-05,0.000116684847794114,1.78718232834114e-06,1.71305790625168e-05,3.64574218977859e-05,0.000117212542220436,0.00129524044295311,4.68230556726132e-06
"TMSB15A",4.81522999464546e-05,2.71360111149102e-06,1.78718232834114e-06,7.34167674107864e-06,3.12492187695308e-06,0.00367186229200754,0.000198695621683536,2.34115278363066e-05
"TM4SF18",5.77827599357456e-06,0.000230656094476736,0.000209100332415913,9.54417976340223e-05,0.000117705390698566,0.000279874845710021,0.00327582139919969,0.00010769302804701
"SLC39A12",1.92609199785819e-06,0.00010583044334815,6.25513814919398e-05,0.000761087155491819,0.000880186328675116,3.58813904756437e-05,3.18763029438828e-06,0.000145151472585101
"HS6ST3",5.2004483942171e-05,1.35680055574551e-05,1.78718232834114e-06,0.000389108867277168,0.00118434539136522,0.000188975323171724,1.59381514719414e-05,1.4046916701784e-05
"ELAVL4",8.66741399036184e-05,8.14080333447305e-06,3.39564642384816e-05,0.00121137666227798,0.00093435164120897,0.0014902737510884,1.06254343146276e-06,5.15053612398745e-05
"DDX3Y",0.000660649555265358,0.000100403241125168,5.36154698502341e-06,0.000452736732366516,1.77078906360674e-05,0.000710451531417745,0.000258198053845451,1.4046916701784e-05
"RYR2",9.63045998929093e-06,4.07040166723652e-05,1.60846409550702e-05,0.000868765081027639,0.000723940234827463,2.39209269837625e-06,2.2313412060718e-05,0.000135786861450578
"ATP1A3",1.34826439850073e-05,2.98496122264012e-05,1.2510276298388e-05,0.00245456725710063,0.000276034765797522,0.000136349283807446,2.01883251977925e-05,0.000126422250316056
"OLFM1",0.00089178059500834,2.71360111149102e-06,0.000226972155699324,0.00266013420585083,0.00499258351874536,0.000696098975227488,7.43780402023933e-06,0.000407360584351735
"COL6A3",9.82306918907675e-05,8.14080333447305e-06,1.78718232834114e-06,6.60750906697078e-05,7.29148437955718e-06,3.10972050788912e-05,0.00143549617590619,0.000210703750526759
"SLC12A5",1.92609199785819e-06,2.98496122264012e-05,1.78718232834114e-06,0.000452736732366516,0.00094476804746548,3.10972050788912e-05,3.93141069641222e-05,2.34115278363066e-05
"GRIN2A",0.000109787243877917,4.07040166723652e-05,1.78718232834114e-06,0.000814926118259729,0.00203849070439906,8.85074298399212e-05,8.18158442226326e-05,4.68230556726132e-06
"TF",1.92609199785819e-06,0.00120212529239052,0.000176931050505773,0.00612051117647923,0.000323950234577469,0.000275090660313268,1.16879777460904e-05,4.68230556726132e-06
"DNAPTP3",0.009493707457443,2.71360111149102e-06,5.36154698502341e-06,1.22361279017977e-05,4.062398440039e-05,0.00136110074537608,0.0661061395884557,0.000117057639181533
"SERPINI1",1.92609199785819e-06,2.71360111149102e-06,5.36154698502341e-06,0.00190149427593937,0.00596547586310342,4.06655758723962e-05,0.000387828352483908,0.00248630425621576
"STC1",0.00118454657868278,0.000203520083361826,5.36154698502341e-06,1.71305790625168e-05,1.35413281334633e-05,0.000117212542220436,0.00101685406390986,4.68230556726132e-06
"PLA2G2A",0.000402553227552361,0.00090905637234949,0.000355649283339886,2.44722558035955e-06,1.04164062565103e-06,2.63130196821387e-05,0.000115817234029441,7.02345835089198e-05
