	Tumor	Macrophage_Microglia	T_cell	NK_cell	B_cell	Endothelial	Oligodendrocyte	Astrocyte
KIFBP	63.10188804853776	17.020073136844335	55.14477824989204	1.5314734382679729	9.820250436133431	27.475027029448523	145.2936442902215	58.240113015658295
KIFC2	2.645224229380543	3.4989904197064523	0.8597546620964983	0.47393476505369414	0.5536651437980142	0.30752596371693625	0.13465452359639124	10.381071368073378
KIFC3	13.861009690813793	13.985778775492568	0.6293984336159724	112.04756532291242	0.32412703237904683	26.595561459278564	24.0412020391631	6.520496252282888
KIN	14.72556190762179	16.088356801432898	19.92813680917916	54.14642132914044	13.490625206658967	63.35700129652126	16.522627092632135	41.657712162434606
KIR2DL1	0.00016545086269644175	0.18815513720685978	0.0024240644282878614	0.018882253819197954	0.018621098742387203	0.0	0.0	0.0
KIR2DL3	0.019314809326148687	2.190305064624064	0.28210210526362883	1.4528493262316762	0.0	0.0	0.0	0.03872310073150769
KIR2DL4	0.07958484199716578	1.2090278475847152	0.8388855001088156	242.88436077652716	0.0	0.3044866962369836	0.008524893015193801	0.17019185924851832
KIR3DL1	0.0	0.0004724226190229091	0.0006260513476096548	0.003799969682270461	0.0	0.0	0.0	0.0009790536521424014
KIR3DL2	0.019101486533002997	0.14567850774663138	1.8607421551343712	0.35861123920989396	0.0	0.0	0.007672855700072146	0.04011901423676229
KIR3DX1	0.04087818074980627	1.1774098980751662	0.01871615754290687	0.23954656347048056	0.0	0.0	0.025086571921394636	0.0
KIRREL1	20.85083769814253	39.65760916218383	10.02803482507552	0.15960419543220292	2.4442784787640557	1.3761898518633628	0.8211255614691766	0.07256765416812995
KIRREL2	0.5233692204765418	0.13845970645609365	0.0013931721000763027	0.0	0.0	0.05093256232690681	0.14545085947081796	0.02236818405540069
KIRREL3	10.842997031128439	1.4364586136912132	1.5200910331959214	0.0	6.318578436554004	1.113451740093418	49.156709353039616	0.15890054109048093
KISS1	0.01105188404293556	0.0	0.013216404327494557	0.0	0.0	0.0076023988454150876	0.0	0.0
KISS1R	0.16166289588540467	0.03267173434617319	0.009004920357360318	0.004637608138928937	0.08384689737096838	0.07481999069435775	0.002693289909150409	0.0
KIT	11.108634450944642	0.34903518163944863	0.5500906756418301	4.278617090203811	2.0100488746440703	568.8547145414831	10.467493955311628	52.080763233310954
KITLG	48.906181103395475	1.0646298905719962	0.16593675341157302	0.0	8.940267430663084	130.60042630894463	0.5578973700946305	0.03981385134360337
KIZ	82.89492952530045	23.301249377347308	43.321061496936345	1.6793352707822709	17.825425780039744	5.9014230926552615	79.26632356447425	32.08789696681135
KL	0.8889844362673792	0.015707750076096785	4.284339477131185	0.1895198609297793	0.0	35.76502379048319	0.5341753502468783	0.11719049893743817
KLB	2.289789792086501	1.842492642269113	6.43629984649485	9.436112561484471	0.0	0.0	3.3247590813021946	3.432271195000594
KLC1	105.85679256648133	54.99553285482271	43.37888674072585	4.841536602984892	31.551119631999168	208.3689097689673	59.93724681620071	182.39332081593716
KLC2	12.498568584070588	1.1885505792127904	6.568869215112056	0.47892822931524254	6.986838074715593	15.320181028557561	9.617793734318365	25.580997991184166
KLC3	0.1041789876222531	0.08099758099640456	0.05844488590683295	0.0	0.0	0.3544703188176039	0.007443238931264558	0.08585638377067897
KLC4	18.632564734629526	11.865861187945427	7.28118355881349	34.717404101021046	0.7272798663312793	3.0092661493662143	12.768267383198848	30.626150780232337
KLF1	0.43566361319476327	1.0943563446832918	0.005169834776478231	0.05857517130606623	0.0	0.0	0.004535668841058425	12.179051527429435
KLF10	183.9328570380457	232.01520195320884	266.6363424781316	5.02991087120411	63.330252270974	384.0295299094578	21.145340463373884	3.252424500166459
